"record_id","acc_mean.learning","acc_mean.test","acc_std.learning","acc_std.test","rt_mean.learning","rt_mean.test","rt_std.learning","rt_std.test","rt_c_mean.learning","rt_c_mean.test","rt_c_std.learning","rt_c_std.test"
30242,0.888888888888889,0.861111111111111,0.318727629155838,0.350736187206101,1940.05555555556,2765.44444444445,926.042638464325,652.632884966489,1875.75,2630.41935483871,882.892898922481,508.132513831681
30255,1,1,0,0,1546.08333333333,2258.22222222222,628.919362307851,153.540336461254,1546.08333333333,2258.22222222222,628.919362307851,153.540336461254
30274,0.861111111111111,0.791666666666667,0.350736187206101,0.414851116999053,2482.16666666667,2733.70833333333,1045.34733803787,504.83690686818,2435.12903225806,2691.21052631579,1063.07110900245,454.24975740804
30283,0.833333333333333,0.777777777777778,0.377964473009227,0.421637021355784,2592.22222222222,2623.75,949.556832305354,450.425980917747,2635.83333333333,2529.57142857143,917.666646834592,390.395187107118
30295,0.972222222222222,0.944444444444444,0.166666666666667,0.232310684145723,1940.88888888889,2265.22222222222,1043.48695050442,221.300843857549,1880.34285714286,2257.44117647059,992.491515532179,222.157354985901
30330,0.972222222222222,0.944444444444444,0.166666666666667,0.232310684145723,1745.61111111111,2481.22222222222,537.862769421865,426.890893461824,1739.91428571429,2477.20588235294,544.612132429967,424.284408573175
30346,0.722222222222222,0.666666666666667,0.454256762579498,0.478091443733757,1895.86111111111,2871.09375,639.389090249559,563.387070252255,1889.15384615385,2746.875,611.977103644095,515.668777456497
30376,0.972222222222222,0.888888888888889,0.166666666666667,0.318727629155838,1569.69444444444,2596.69444444445,487.124262201542,406.950036908319,1572.11428571429,2574,494.016359066388,373.495174214193
30395,1,1,0,0,1344.69444444444,2316.83333333333,383.518434605873,308.915106230082,1344.69444444444,2316.83333333333,383.518434605873,308.915106230082
30400,1,0.888888888888889,0,0.318727629155838,2008.30555555556,2421.72222222222,1192.33094206132,422.80779903005,2008.30555555556,2421,1192.33094206132,376.76389457864
30403,0.805555555555556,0.944444444444444,0.401386485959743,0.232310684145723,2121.41666666667,2583.57142857143,1003.62495485116,404.067793213719,1998.89655172414,2562.29411764706,969.598751503041,389.734371810352
30407,0.944444444444444,1,0.232310684145723,0,1419.91666666667,2493.05555555555,456.968918918062,406.649511738088,1399.82352941176,2493.05555555555,456.794196122727,406.649511738088
30412,0.611111111111111,0.555555555555556,0.494413232473044,0.50395263067897,1885.41666666667,3094.34782608696,1002.06670365372,595.52395636842,1830.72727272727,3131.85,814.362922594693,625.432841697399
30417,1,1,0,0,1500.02777777778,2245.75,658.207283291349,203.963354551743,1500.02777777778,2245.75,658.207283291349,203.963354551743
30426,1,0.944444444444444,0,0.232310684145723,1382.38888888889,2369.37142857143,730.41296646986,497.596522455356,1382.38888888889,2375.73529411765,730.41296646986,503.63179845354
30432,0.75,0.722222222222222,0.43915503282684,0.454256762579498,3206.02777777778,2493.85714285714,1566.09325549938,405.711078221432,2805.7037037037,2386.5,1342.92507422632,385.796137875951
30433,0.861111111111111,0.888888888888889,0.350736187206101,0.318727629155838,1786.61111111111,2793.42857142857,577.520872982231,566.005626957806,1691.51612903226,2785.125,543.73626394713,570.779475522219
30466,1,0.944444444444444,0,0.232310684145723,1794.61111111111,2488.6,1233.20493668855,447.409484766275,1794.61111111111,2446.79411764706,1233.20493668855,378.440082076311
30469,0.944444444444444,0.972222222222222,0.232310684145723,0.166666666666667,1516.55555555556,2550.47222222222,397.192752375572,312.417896516017,1489.88235294118,2556.91428571429,391.623332073817,314.543681753573
30476,0.972222222222222,0.944444444444444,0.166666666666667,0.232310684145723,2472.30555555556,2322.54285714286,1500.96819837719,277.073184519599,2398.8,2327.79411764706,1455.65660947419,279.466459136926
30478,1,0.972222222222222,0,0.166666666666667,1642.11111111111,2202.25714285714,653.293579937306,176.600969762367,1642.11111111111,2202.25714285714,653.293579937306,176.600969762367
30568,0.972222222222222,1,0.166666666666667,0,1827.13888888889,2325.58333333333,885.330193536458,248.220567238092,1783.28571428571,2325.58333333333,857.668301831417,248.220567238092
30581,0.944444444444444,0.944444444444444,0.232310684145723,0.232310684145723,1989.47222222222,2529.52777777778,835.512622324458,465.215678774671,1945.17647058824,2551.26470588235,822.152992862043,469.639791614907
30584,0.944444444444444,0.666666666666667,0.232310684145723,0.478091443733757,3693.19444444444,2662.6,3098.83865637661,543.665059160255,3709.08823529412,2650.83333333333,3176.10866701785,521.312279496295
30588,0.888888888888889,NA,0.318727629155838,NA,2312.91666666667,NA,768.091749541867,NA,2216.25,NA,757.18766583346,NA
40160,0.833333333333333,0.861111111111111,0.377964473009227,0.350736187206101,1613.11111111111,2805.6,576.09829408222,536.53343736599,1584.4,2722.25806451613,613.562328565308,494.852299024125
40170,0.944444444444444,0.888888888888889,0.232310684145723,0.318727629155838,2190.41666666667,2659.17647058824,736.801053783953,326.015287853865,2126.91176470588,2677.15625,685.313746668304,321.079641348856
40288,0.861111111111111,0.888888888888889,0.350736187206101,0.318727629155838,1888.5,2935.97222222222,398.117032326641,651.200933928389,1880.67741935484,2879.09375,386.831262705655,617.847583218313
40351,0.861111111111111,0.777777777777778,0.350736187206101,0.421637021355784,3097.33333333333,2938.8,1190.08611933279,685.626368838786,2863.09677419355,2807.32142857143,1096.09669144161,642.237238592501
40490,0.805555555555556,0.972222222222222,0.401386485959743,0.166666666666667,2041.27777777778,2614.33333333333,707.095209233265,327.607081730539,1884.20689655172,2583.91428571429,620.793753380664,276.028703902604
40496,0.861111111111111,0.944444444444444,0.350736187206101,0.232310684145723,1873.5,2797.61111111111,712.729622146936,451.076507782234,1767.29032258065,2776.11764705882,540.825985171348,449.713293494656
40500,0.388888888888889,NA,0.494413232473044,NA,1353.47222222222,NA,722.787520095878,NA,1555.92857142857,NA,994.420547492219,NA
40512,0.916666666666667,0.888888888888889,0.280305955290694,0.318727629155838,2052.05555555556,2819.68571428571,785.719686272926,595.284695677256,2028.60606060606,2807.34375,810.483071206377,604.437921216761
40515,0.833333333333333,0.638888888888889,0.377964473009227,0.487136107573219,4124.47222222222,2915.94285714286,1646.27205677574,523.365182531007,3647.36666666667,2822.13043478261,1204.62040045626,454.199626150503
40516,0.333333333333333,0.555555555555556,0.478091443733757,0.50395263067897,2578.66666666667,3310.26470588235,921.040560608334,470.105037187759,2666.41666666667,3257.45,1457.04754139279,452.321319767032
40519,1,0.75,0,0.43915503282684,2156.94444444444,2578.65714285714,871.217799386729,448.744978202747,2156.94444444444,2674.40740740741,871.217799386729,466.242117628504
40520,0.888888888888889,NA,0.318727629155838,NA,3027.38888888889,NA,1317.16568602604,NA,2813.46875,NA,1090.14000238428,NA
40522,1,1,0,0,1506.05555555556,2347.47222222222,408.430371365755,246.961244630016,1506.05555555556,2347.47222222222,408.430371365755,246.961244630016
40524,0.888888888888889,0.861111111111111,0.318727629155838,0.350736187206101,3681.69444444444,2587.75,2113.73591835397,448.46833778986,3779.625,2602.25806451613,2218.35394875017,437.528968011791
40547,0.944444444444444,0.833333333333333,0.232310684145723,0.377964473009227,2886.69444444444,2983.6875,1171.16754491147,457.078622269171,2909.67647058824,2987.43333333333,1201.55958554348,430.085290926421
40550,0.25,0.666666666666667,0.43915503282684,0.478091443733757,106.611111111111,3212.51428571429,621.49530639661,514.476225451305,417.333333333333,3190.83333333333,1243,493.047723827029
40564,0.805555555555556,1,0.401386485959743,0,2161.33333333333,2666.69444444445,614.795157523452,422.315306677331,2088.03448275862,2666.69444444445,588.546847434948,422.315306677331
40601,0.611111111111111,0.833333333333333,0.494413232473044,0.380693493813441,1945.02777777778,2773.83333333333,476.348640994994,352.921800263811,1888.27272727273,2700.85,488.493523066501,327.206079437795
40608,0.833333333333333,0.833333333333333,0.377964473009227,0.377964473009227,1532.38888888889,2795.77142857143,601.157753376303,418.454023457654,1532.36666666667,2757.36666666667,646.701097258542,376.706369080411
40615,0.888888888888889,0.916666666666667,0.318727629155838,0.280305955290694,2492.77777777778,2992.91428571429,1114.70242309932,622.798209763029,2414.46875,2990.78787878788,919.681010069393,619.459681777987
40619,0.75,NA,0.43915503282684,NA,8370.16666666667,NA,7816.00279828872,NA,8445.55555555555,NA,8291.31872842977,NA
40623,0.333333333333333,NA,0.478091443733757,NA,2033.25,NA,884.648901300074,NA,1758.25,NA,884.45289971721,NA
40629,0.888888888888889,1,0.318727629155838,0,2383.22222222222,2533.58333333333,760.681165088656,238.75335450149,2253.03125,2533.58333333333,595.541417230655,238.75335450149
40638,0.833333333333333,0.777777777777778,0.377964473009227,0.421637021355784,2597.86111111111,3056.73529411765,1213.29389097325,553.669702917451,2440.96666666667,2980.46428571429,1234.24217942479,473.356688167395
40649,0.916666666666667,0.972222222222222,0.280305955290694,0.166666666666667,1748.55555555556,2736.66666666667,868.360473024372,472.597563623488,1711.60606060606,2715.4,890.989966953681,461.689174789324
40650,0.944444444444444,0.805555555555556,0.232310684145723,0.401386485959743,3497.16666666667,2766.5,1764.15228529577,532.31352200962,3423.32352941176,2636.10344827586,1770.3072960534,456.466189080198
40655,0.75,0.722222222222222,0.43915503282684,0.454256762579498,1689.33333333333,2901.68571428571,564.049136664022,431.13733115949,1610.51851851852,2831.38461538462,501.969917147231,382.600373959365
40656,0.916666666666667,0.722222222222222,0.280305955290694,0.454256762579498,2892.19444444444,2878.86206896552,1210.19228270185,599.671500796057,2791.84848484848,2805.19230769231,1162.13311740771,566.558947981992
40658,1,1,0,0,2805.94444444444,2576.91666666667,1699.20729323906,463.283830003657,2805.94444444444,2576.91666666667,1699.20729323906,463.283830003657
40664,0.583333333333333,0.75,0.5,0.43915503282684,1735,2796.12121212121,569.636525714926,627.804445945141,1704.90476190476,2708.14814814815,624.218463741814,582.934532787062
40665,0.944444444444444,0.944444444444444,0.232310684145723,0.232310684145723,1992,2577,747.18366455071,503.399585674385,1979.73529411765,2555.44117647059,740.626692406138,507.772986211207
40668,0.805555555555556,0.833333333333333,0.401386485959743,0.377964473009227,1933.22222222222,2954.69444444445,578.524186979797,569.375739331844,1844.51724137931,2893.13333333333,568.690451871017,550.626585610984
40672,1,0.888888888888889,0,0.318727629155838,1868.75,2420.16666666667,793.115317682654,352.500739614219,1868.75,2395.84375,793.115317682654,328.987607313906
40685,0.888888888888889,0.861111111111111,0.318727629155838,0.350736187206101,2583.11111111111,2602.70588235294,1336.55913829457,471.708983822542,2338.125,2560.35483870968,1146.94322355752,454.568846885859
40694,0.805555555555556,0.694444444444444,0.401386485959743,0.467176592151157,2835.5,2953.08823529412,1041.21542988402,432.078862586173,2585.1724137931,2924.96,957.204638106096,464.005161609222
40707,0.583333333333333,NA,0.5,NA,8782.30555555555,NA,8045.69238011228,NA,6561.19047619048,NA,4941.41733330679,NA
40720,0.888888888888889,0.805555555555556,0.318727629155838,0.401386485959743,3133.75,2736.6,1591.02867667431,575.964061378833,3004.625,2656.58620689655,1640.33591662038,540.421364521728
40728,0.833333333333333,0.805555555555556,0.377964473009227,0.401386485959743,3109.69444444444,2852.17647058824,1336.33660899479,464.412203960195,2820.03333333333,2737.20689655172,1147.03472223947,360.393671590065
40730,0.805555555555556,0.861111111111111,0.401386485959743,0.350736187206101,3117.72222222222,2948.17647058824,2548.41716265619,515.646841243244,2474.96551724138,2922.29032258065,1292.39645848762,505.237712603245
40738,0.666666666666667,NA,0.478091443733757,NA,7464.69444444444,NA,4308.5853549757,NA,6809.04166666667,NA,4963.82218158168,NA
40743,0.888888888888889,0.777777777777778,0.318727629155838,0.421637021355784,12027.0277777778,2670.8125,16396.9027641305,377.004700706554,9681.21875,2694.92857142857,8741.2289485661,390.700788097626
40750,0.416666666666667,0.722222222222222,0.5,0.454256762579498,396.75,2205.97142857143,891.559897034405,555.159462291177,948.066666666667,2351.11538461538,1195.37522301975,475.594476580465
